TRIP
DATE 2011-07-06 
DECLINATION     0.00
DATA
1.325		332.79	-63.54	0.712	>
1.325	1.338	302.40	11.35	18.229	>
1.338		209.12	16.40	2.451	>
1.338		351.55	31.15	2.115	>
1.338		301.41	69.28	9.464	>
1.338		94.43	-68.66	1.282	>
1.338		321.67	-54.65	7.915	>
1.338		327.88	-31.07	8.742	>
1.338		327.27	43.25	7.627	>
1.338		282.35	48.52	19.746	>
1.338	1.339	247.08	-34.26	13.479	>
1.338		77.03	14.01	0.776	>
1.338		220.87	19.13	2.413	>
1.338		325.72	57.94	10.460	>
1.338		213.24	-56.96	1.750	>
1.341	1.340	141.43	46.92	6.515	>
1.340		42.89	33.52	2.256	>
1.340		240.50	32.25	4.718	>
1.340		39.62	74.12	7.854	>
1.340		332.96	-68.31	3.797	>
1.340	1.338	120.11	0.04	1.398	>
1.323		217.65	12.56	7.981	>
1.323		339.67	0.84	6.124	>
1.323		299.20	75.12	6.297	>
1.323		294.93	-72.40	1.193	>
1.323	1.342	280.08	5.87	19.571	>
1.342		211.42	-4.62	3.660	>
1.342		329.62	5.14	0.357	>
1.342		269.00	65.70	6.528	>
1.342		186.79	-59.35	3.664	>
1.342	1.343	254.00	0.55	7.762	>
1.343		181.58	7.57	0.660	>
1.343		330.38	12.81	1.015	>
1.343		273.67	40.18	3.250	>
1.343		244.58	-60.55	2.146	>
1.343	1.344	265.97	-5.72	14.972	>
1.344		158.62	16.29	0.763	>
1.344		340.73	27.88	0.586	>
1.344		126.75	76.81	0.842	>
1.344		122.79	-42.39	1.105	>
1.344	1.345	263.84	-6.51	3.941	>
1.345		189.05	25.27	0.408	>
1.345		352.67	4.56	1.156	>
1.345		334.88	63.28	3.080	>
1.345		254.00	-83.48	1.182	>
1.345	1.346	280.77	-63.22	7.460	>
1.346		52.37	6.95	1.587	>
1.346		223.46	-0.13	2.630	>
1.346		92.93	82.95	7.658	>
1.346		224.48	-79.50	1.292	>
1.346	1.347	129.30	-3.26	5.866	>
1.347	1.348	147.87	-66.26	30.408	>
1.347		146.49	-65.54	16.376	>
1.347		153.65	-67.26	29.678	>
1.346	1.349	322.50	23.99	4.073	>
1.349		242.78	-3.97	1.300	>
1.349		49.51	6.59	1.656	>
1.349		330.37	68.56	6.369	>
1.349		69.21	-84.04	1.925	>
1.349	1.350	340.40	-3.81	3.021	>
1.350		245.30	6.26	2.099	>
1.350		33.90	-6.19	0.835	>
1.350		356.73	87.76	1.795	>
1.350		305.80	-79.98	1.907	>
1.350	1.351	313.48	-36.80	12.645	>
1.351		217.77	-1.71	1.478	>
1.351		8.76	9.32	0.944	>
1.351		312.49	78.13	0.943	>
1.351		203.20	-70.61	0.321	>
1.351	1.352	283.07	-3.39	1.807	>
1.352		219.05	11.64	0.258	>
1.352		19.26	10.61	1.428	>
1.352		32.97	82.94	0.359	>
1.352		216.61	-83.22	0.370	>
1.352	1.353	328.27	12.60	5.699	>
1.353		222.16	3.92	3.713	>
1.353		15.80	-11.48	1.855	>
1.353		264.35	71.39	1.559	>
1.353		278.78	-84.39	1.409	>
1.353	1.354	296.04	17.77	11.608	>
1.354		194.95	6.51	1.315	>
1.354		344.46	-1.22	1.034	>
1.354		206.02	79.52	2.833	>
1.354		79.95	-64.97	0.907	>
1.354		128.37	13.71	9.942	>
1.354		158.62	5.92	4.545	>
1.354		150.94	46.97	5.126	>
1.354		94.98	45.09	11.752	>
1.354		45.51	47.04	15.095	>
1.354		55.27	22.24	6.758	>
1.354		355.48	49.84	10.641	>
1.354	1.355	257.83	3.47	11.690	>
1.355		185.71	1.18	0.292	>
1.355		348.79	4.13	4.496	>
1.355		311.15	78.30	3.064	>
1.355		172.23	-72.73	1.421	>
1.290		323.95	-11.56	15.645	>
1.290		128.89	32.35	5.603	>
1.290		25.16	68.93	7.478	>
1.290		2.74	-63.16	0.417	>
